Description,Wall Thickness,Part Number,Price
FABMATE,15,3.9,EVCFABEB-13M,€146.00
FABMATE,N/A,27.1,EVCFABEB-14M,P.O.R.
FABMATE,N/A,16.2,EVCFABEB-15,P.O.R.
FABMATE,25 (4 Pocket),17.1,EVCFABEB-16,€141.00
FABMATE,62,47.6,EVCFABEB-17,P.O.R.
FABMATE,16,14.7,EVCFABEB-18,P.O.R.
FABMATE,1,0.32,EVCFABEB-19,P.O.R.
FABMATE,2,0.84,EVCFABEB-20,€68.00
FABMATE,3,1.44,EVCFABEB-21,€75.00
FABMATE,4,2.1,EVCFABEB-22,€85.00
FABMATE,7,3.7,EVCFABEB-23,€120.00
FABMATE,12,8.3,EVCFABEB-24,P.O.R.
FABMATE,25,16.3,EVCFABEB-25,€153.00
FABMATE,30,21.9,EVCFABEB-26,€179.00
FABMATE,100,82.7,EVCFABEB-27,P.O.R.
FABMATE,20,14.6,EVCFABEB-29,€368.00
FABMATE,1.5,0.55,EVCFABEB-28,P.O.R.
FABMATE,4,1.6,EVCFABEB-30,P.O.R.
FABMATE,12,5.6,EVCFABEB-31,P.O.R.
FABMATE,35,24.1,EVCFABEB-32,P.O.R.
FABMATE,12,7.4,EVCFABEB-33,€94.00
FABMATE,12,2.14,EVCFABEB-33M,P.O.R.
FABMATE,1,0.24,EVCFABEB-1,€174.00
FABMATE,10,4.8,EVCFABEB-2,€110.00
FABMATE,4,1.8,EVCFABEB-3,€82.00
FABMATE,7,4.4,EVCFABEB-4,€102.00
FABMATE,N/A,2.4,EVCFABEB-5,€83.00
FABMATE,40,30.4,EVCFABEB-6,€207.00
FABMATE,40,17.0,EVCFABEB-6M,P.O.R.
FABMATE,N/A,126.0,EVCFABEB-7,P.O.R.
FABMATE,40,30.2,EVCFABEB-8,€250.00
FABMATE,40,16.9,EVCFABEB-8M,P.O.R.
FABMATE,30,20.2,EVCFABEB-9,€162.00
FABMATE,30,10.3,EVCFABEB-9M,€163.00
FABMATE,N/A,2.8,EVCFABEB-10,P.O.R.
FABMATE,N/A,2.3,EVCFABEB-11,P.O.R.
FABMATE,156,94.7,EVCFABEB-12M,P.O.R.
FABMATE,15,8.2,EVCFABEB-13,€141.00
FABMATE,15,3.9,EVCFABEB-13M,€146.00
FABMATE,N/A,27.1,EVCFABEB-14M,P.O.R.
FABMATE,N/A,16.2,EVCFABEB-15,P.O.R.
FABMATE,25 (4 Pocket),17.1,EVCFABEB-16,€141.00
FABMATE,62,47.6,EVCFABEB-17,P.O.R.
FABMATE,16,14.7,EVCFABEB-18,P.O.R.
FABMATE,1,0.32,EVCFABEB-19,P.O.R.
FABMATE,2,0.84,EVCFABEB-20,€68.00
FABMATE,3,1.44,EVCFABEB-21,€75.00
FABMATE,4,2.1,EVCFABEB-22,€85.00
FABMATE,7,3.7,EVCFABEB-23,€120.00
FABMATE,12,8.3,EVCFABEB-24,P.O.R.
FABMATE,25,16.3,EVCFABEB-25,€153.00
FABMATE,30,21.9,EVCFABEB-26,€179.00
FABMATE,100,82.7,EVCFABEB-27,P.O.R.
FABMATE,20,14.6,EVCFABEB-29,€368.00
FABMATE,1.5,0.55,EVCFABEB-28,P.O.R.
FABMATE,4,1.6,EVCFABEB-30,P.O.R.
FABMATE,12,5.6,EVCFABEB-31,P.O.R.
FABMATE,35,24.1,EVCFABEB-32,P.O.R.
FABMATE,12,7.4,EVCFABEB-33,€94.00
FABMATE,12,2.14,EVCFABEB-33M,P.O.R.
Graphite,1,0.24,EVCEB-1,€66.00
Graphite,10,4.8,EVCEB-2,€97.00
Graphite,4,1.8,EVCEB-3,€78.00
Graphite,7,4.4,EVCEB-4,€104.00
Graphite,N/A,2.4,EVCEB-5,€71.00
Graphite,40,30.4,EVCEB-6,€196.00
Graphite,40,17.0,EVCEB-6M,€269.00
Graphite,N/A,126.0,EVCEB-7,P.O.R.
Graphite,40,30.2,EVCEB-8,€202.00
Graphite,40,16.9,EVCEB-8M,€170.00
Graphite,30,20.2,EVCEB-9,€162.00
Graphite,30,10.3,EVCEB-9M,P.O.R.
Graphite,NA,2.3,EVCEB-11,P.O.R.
Graphite,156,94.7,EVCEB-12M,P.O.R.
Graphite,15,8.2,EVCEB-13,€130.00
Graphite,15,3.9,EVCEB-13M,€118.00
Graphite,N/A,27.1,EVCEB-14M,P.O.R.
Graphite,N/A,16.2,EVCEB-15,€191.00
Graphite,25 (4 Pocket),17.1,EVCEB-16,€132.00
Graphite,62,47.6,EVCEB-17,P.O.R.
Graphite,16,14.7,EVCEB-18,P.O.R.
Graphite,1,0.32,EVCEB-19,P.O.R.
Graphite,2,0.84,EVCEB-20,€57.00
Graphite,3,1.44,EVCEB-21,€103.00
Graphite,4,2.1,EVCEB-22,€78.00
Graphite,7,3.7,EVCEB-23,€117.00
Graphite,12,8.3,EVCEB-24,€112.00
Graphite,25 (6 Pocket),16.3,EVCEB-25,€142.00
Graphite,30,21.9,EVCEB-26,€164.00
Graphite,100,82.7,EVCEB-27,P.O.R.
Graphite,25 (4 Pocket),12.8,EVCEB-16M,€100.00
Graphite,25 (6 Pocket),14,EVCEB-25M,€85.00
Graphite,30 (Without Web),18.5,EVCEB-9M+,P.O.R.
Graphite,40,27,EVCEB-6M+,P.O.R.
Graphite,4,1.6,EVCEB-30,€65.00
Graphite,20,14.6,EVCEB-29,€111.00
Graphite,12,5.6,EVCEB-31,€88.00
Graphite,35,24.1,EVCEB-32,€142.00
Graphite,12,7.4,EVCEB-33,€139.00
Graphite,1,0.24,EVCEB-1,€66.00
Graphite,10,4.8,EVCEB-2,€97.00
Graphite,4,1.8,EVCEB-3,€78.00
Graphite,7,4.4,EVCEB-4,€104.00
Graphite,N/A,2.4,EVCEB-5,€71.00
Graphite,40,30.4,EVCEB-6,€196.00
Graphite,40,17.0,EVCEB-6M,€269.00
Graphite,N/A,126.0,EVCEB-7,P.O.R.
Graphite,40,30.2,EVCEB-8,€202.00
Graphite,40,16.9,EVCEB-8M,€170.00
Graphite,30,20.2,EVCEB-9,€162.00
Graphite,30,10.3,EVCEB-9M,P.O.R.
Graphite,NA,2.3,EVCEB-11,P.O.R.
Graphite,156,94.7,EVCEB-12M,P.O.R.
Graphite,15,8.2,EVCEB-13,€130.00
Graphite,15,3.9,EVCEB-13M,€118.00
Graphite,N/A,27.1,EVCEB-14M,P.O.R.
Graphite,N/A,16.2,EVCEB-15,€191.00
Graphite,25 (4 Pocket),17.1,EVCEB-16,€132.00
Graphite,62,47.6,EVCEB-17,P.O.R.
Graphite,16,14.7,EVCEB-18,P.O.R.
Graphite,1,0.32,EVCEB-19,P.O.R.
Graphite,2,0.84,EVCEB-20,€57.00
Graphite,3,1.44,EVCEB-21,€103.00
Graphite,4,2.1,EVCEB-22,€78.00
Graphite,7,3.7,EVCEB-23,€117.00
Graphite,12,8.3,EVCEB-24,€112.00
Graphite,25 (6 Pocket),16.3,EVCEB-25,€142.00
Graphite,30,21.9,EVCEB-26,€164.00
Graphite,100,82.7,EVCEB-27,P.O.R.
Graphite,25 (4 Pocket),12.8,EVCEB-16M,€100.00
Graphite,25 (6 Pocket),14,EVCEB-25M,€85.00
Graphite,30 (Without Web),18.5,EVCEB-9M+,P.O.R.
Graphite,40,27,EVCEB-6M+,P.O.R.
Graphite,4,1.6,EVCEB-30,€65.00
Graphite,20,14.6,EVCEB-29,€111.00
Graphite,12,5.6,EVCEB-31,€88.00
Graphite,35,24.1,EVCEB-32,€142.00
Graphite,12,7.4,EVCEB-33,€139.00
Intermetallic,4,2.1,EVCEB-22INT,€202.00
Intermetallic,7,4.4,EVCEB-4INT,€237.00
Intermetallic,15,8.2,EVCEB-13INT,€281.00
Intermetallic,25 (4 Pocket),17.1,EVCEB-16INT,€325.00
Intermetallic,25 (6 Pocket),16.3,EVCEB-25INT,€290.00
