Material,Name,Formula,Purity,Price,Quantity,Rest
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/4" LONG,100 GRAMS,€134.00, Al    1/8" Dia. x 1/4" Length 100 g 99.999% EVMAL50EXQD
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/4" LONG,250 GRAMS,€273.00, Al    1/8" Dia. x 1/4" Length 250 g 99.999% EVMAL50EXQJ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€533.00, Al    1 POUND 1/8" Dia. x 1/8" Length 99.99% EVMAL40EXE
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,€51.00, Al    1/8" Dia. x 1/8" Length 25 g 99.99% EVMAL40EXEA
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€83.00, Al    1/8" Dia. x 1/8" Length 50 g 99.99% EVMAL40EXEB
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,100 GRAMS,€137.00, Al    1/8" Dia. x 1/8" Length 100 g 99.99% EVMAL40EXED
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,250 GRAMS,€321.00, Al    1/8" Dia. x 1/8" Length 250 g 99.99% EVMAL40EXEJ
Aluminum,ALUMINUM PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 KILOGRAM,P.O.R., Al    1/8" Dia. x 1/8" Length 1 kg 99.99% EVMAL40EXEKG
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€676.00, Al    1 POUND 1/8" Dia. x 1/8" Length 99.999% EVMAL50EXE
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS.,€59.00, Al    1/8" Dia. x 1/8" Length 25 g 99.999% EVMAL50EXEA
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€95.00, Al    1/8" Dia. x 1/8" Length 50 g 99.999% EVMAL50EXEB
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,100 GRAMS,€168.00, Al    1/8" Dia. x 1/8" Length 100 g 99.999% EVMAL50EXED
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,200 GRAMS,€312.00, Al    1/8" Dia. x 1/8" Length 200 g 99.999% EVMAL50EXEH
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,250 GRAMS,€383.00, Al    1/8" Dia. x 1/8" Length 250 g 99.999% EVMAL50EXEJ
Aluminum,ALUMINUM PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,1 KG LOT,P.O.R., Al    1/8" Dia. x 1/8" Length 1 kg 99.999% EVMAL50EXEKG
Aluminum,ALUMINUM WIRE,99.99% PURE,0.040"/1.0MM DIAMETER,N/A,€4.00, Al    PER FOOT  MIN. 10 FOOT ORDER 1.0 mm (0.040") Dia. 1 ft. 99.99% EVMAL40040
Aluminum,ALUMINUM WIRE,99.999% PURE,1MM DIAMETER X 100 METERS,N/A,€415.00, Al   1.0 mm (0.040") Dia. 100 m 99.999% EVMAL50040
Aluminum,ALUMINUM WIRE,99.999% PURE,1.0MM DIAMETER,CONTINUOUS LENGTH,€175.00, Al    50 FEET ON SPOOL   ANNEALED 1.0 mm (0.040") Dia. 50 ft. 99.999% EVMAL5004050FT
Aluminum,ALUMINUM WIRE,99.999% PURE,1.0MM DIAMETER,N/A,€5.00, Al    SOLD PER FOOT  5 FOOT MINIMUM ORDER 1.0 mm (0.040") Dia. 1 ft. 99.999% EVMAL50040FT
Aluminum,ALUMINUM WIRE,99.99% PURE,0.060" DIAMETER,1 lb.,P.O.R., Al    1 POUND ON SPOOL 1.5 mm (0.060") Dia. 99.99% EVMAL40060
Aluminum,ALUMINUM WIRE,99.999% PURE,0.062" DIAMETER X 1 POUND SPOOL,1 lb.,€869.00, Al   1.5 mm (0.060") Dia. 99.999% EVMAL50.062
Aluminum,ALUMINUM WIRE,99.999% PURE,2MM DIAMETER X 10 METERS LONG,N/A,P.O.R., Al    +/-0.075MM DIAMETER 2.0 mm (0.080") Dia. 10 m 99.999% EVMAL502MM+
