Material,Name,Formula,Purity,Price,Quantity,Rest
Chrome Plated Tungsten,CHROME PLATED TUNGSTEN ROD,N/A,6" LONG X 0.050" DIAMETER ROD,5/PKG,€79.00,  FOR Cr EVAPORATION   W/ CLEAN/FLUSH ENDS 5 2.40 77 158 1800 °C EVSCRW3
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,1 lb.,P.O.R.,  2-6MM PIECES  1 POUND 2 mm - 6 mm Pieces 99.9% EVMCROX3-6MM
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,25 GRAMS,P.O.R.,  2-6MM PIECES  2 mm - 6 mm Pieces 25 G 99.9% EVMCROX3-6MMA
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,50 GRAMS,P.O.R.,  2-6MM PIECES  2 mm - 6 mm Pieces 50 G 99.9% EVMCROX3-6MMB
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,100 GRAMS,P.O.R.,  2-6MM PIECES  2 mm - 6 mm Pieces 100 G 99.9% EVMCROX3-6MMD
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,2-6MM PIECES 250G LOT,€284.00,  2 mm - 6 mm Pieces 250 G 99.9% EVMCROX3-6MMJ
Chromium Oxide,CHROMIUM OXIDE PIECES,99.9% PURE,N/A,1 KG LOT,P.O.R., Cr2O3   2-6MM PIECES  2 mm - 6 mm Pieces 1 kg 99.9% EVMCROX3-6MMKG
Chromium Oxide,CHROMIUM OXIDE PIECES,Cr2O3 99.9% PURE,N/A,500 GRAMS,P.O.R.,  2-6MM PIECES  2 mm - 6 mm Pieces 500 G 99.9% EVMCROX3-6MMT
Cobalt,COBALT PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,1 lb./454 g,€553.00, Co    1 POUND 1/4" Dia. x 1/4" Length 99.95% EVMCO35QXQ
Cobalt,COBALT PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,€56.00, Co    1/4" Dia. x 1/4" Length 25 g 99.95% EVMCO35QXQA
Cobalt,COBALT PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€82.00, Co    1/4" Dia. x 1/4" Length 50 g 99.95% EVMCO35QXQB
Cobalt,COBALT PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,€157.00, Co    1/4" Dia. x 1/4" Length 100 g 99.95% EVMCO35QXQD
Cobalt,COBALT PELLETS,99.95% PURE,1/4" DIAMETER X 1/4"LONG,250 GRAMS,€321.00, Co    1/4" Dia. x 1/4" Length 250 g 99.95% EVMCO35QXQJ
Cobalt,COBALT PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,P.O.R., Co    1/4" Dia. x 1/4" Length 25 g 99.99% EVMCO40QXQA
Cobalt,COBALT PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,P.O.R., Co    1/4" Dia. x 1/4" Length 100 g 99.99% EVMCO40QXQD
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€2, Co    1 POUND 1/8" Dia. x 1/8" Length 99.95% EVMCO35EXE 389.00
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,€147.00, Co    1/8" Dia. x 1/8" Length 25 g 99.95% EVMCO35EXEA
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€290.00, Co    1/8" Dia. x 1/8" Length 50 g 99.95% EVMCO35EXEB
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,100 GRAMS,€553.00, Co    1/8" Dia. x 1/8" Length 100 g 99.95% EVMCO35EXED
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,250 GRAMS,€1, Co    1/8" Dia. x 1/8" Length 250 g 99.95% EVMCO35EXEJ 321.00
Cobalt,COBALT PELLETS,99.95% PURE,1/8" DIAMETER X 1/8" LONG,500 GRAMS,P.O.R., Co    1/8" Dia. x 1/8" Length 500 g 99.95% EVMCO35EXET
Cobalt,COBALT PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,P.O.R., Co    1/8" Dia. x 1/8" Length 25 g 99.99% EVMCO40EXEA
Cobalt,COBALT PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,100 GRAMS,P.O.R., Co    1/8" Dia. x 1/8" Length 100 g 99.99% EVMCO40EXED
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,1 lb.,€72.00, Cu    1 POUND LOT 1/4" Dia. x 1/2" Length 99.99% EVMCU40QXH
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/2" LONG,1 lb.,P.O.R., Cu    1 POUND 1/4" Dia. x 1/2" Length 99.999% EVMCU50QXH
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€116.00, Cu    1 POUND 1/4" Dia. x 1/4" Length 99.99% EVMCU40QXQ
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,€36.00, Cu    1/4" Dia. x 1/4" Length 25 g 99.99% EVMCU40QXQA
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€34.00, Cu    1/4" Dia. x 1/4" Length 50 g 99.99% EVMCU40QXQB
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,€39.00, Cu    1/4" Dia. x 1/4" Length 100 g 99.99% EVMCU40QXQD
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,250 GRAMS,€87.00, Cu    1/4" Dia. x 1/4" Length 250 g 99.99% EVMCU40QXQJ
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1 KILOGRAM,P.O.R., Cu    1/4" Dia. x 1/4" Length 1 kg 99.99% EVMCU40QXQKG
Copper,COPPER PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,500 GRAMS,P.O.R., Cu    1/4" Dia. x 1/4" Length 500 g 99.99% EVMCU40QXQT
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€309.00, Cu    ONE POUND 1/4" Dia. x 1/4" Length 99.999% EVMCU50QXQ
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,€44.00, Cu    1/4" Dia. x 1/4" Length 25 g 99.999% EVMCU50QXQA
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€68.00, Cu    1/4" Dia. x 1/4" Length 50 g 99.999% EVMCU50QXQB
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,€94.00, Cu    1/4" Dia. x 1/4" Length 100 g 99.999% EVMCU50QXQD
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,250 GRAMS,€201.00, Cu    1/4" Dia. x 1/4" Length 250 g 99.999% EVMCU50QXQJ
Copper,COPPER PELLETS,99.999% PURE,1/4" DIAMETER X 1/4" LONG,1 KILOGRAM,P.O.R., Cu    1/4" Dia. x 1/4" Length 1 kg 99.999% EVMCU50QXQKG
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/4" LONG,1 lb.,€164.00, Cu    1 POUND 1/8" Dia. x 1/4" Length 99.99% EVMCU40EXQ
Copper,COPPER PELLETS,99.99%+ PURE,1/8" DIAMETER X 1/4" LONG,1 KILOGRAM,€401.00, Cu    1/8" Dia. x 1/4" Length 1 kg 99.99% EVMCU40EXQKG
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€337.00, Cu    1 POUND 1/8" Dia. x 1/8" Length 99.99% EVMCU40EXE
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,€41.00, Cu    1/8" Dia. x 1/8" Length 25 g 99.99% EVMCU40EXEA
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€59.00, Cu    1/8" Dia. x 1/8" Length 50 g 99.99% EVMCU40EXEB
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8"LONG,100 GRAMS,€96.00, Cu    1/8" Dia. x 1/8" Length 100 g 99.99% EVMCU40EXED
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,250 GRAMS,€229.00, Cu    1/8" Dia. x 1/8" Length 250 g 99.99% EVMCU40EXEJ
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 KILOGRAM,P.O.R., Cu    1/8" Dia. x 1/8" Length 1 kg 99.99% EVMCU40EXEKG
Copper,COPPER PELLETS,99.99% PURE,1/8" DIAMETER X 1/8"LONG,500 GRAMS,P.O.R., Cu    1/8" Dia. x 1/8" Length 500 g 99.99% EVMCU40EXET
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€679.00, Cu    1 POUND 1/8" Dia. x 1/8" Length 99.999% EVMCU50EXE
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,€61.00, Cu    1/8" Dia. x 1/8" Length 25 g 99.999% EVMCU50EXEA
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€110.00, Cu    1/8" Dia. x 1/8" Length 50 g 99.999% EVMCU50EXEB
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,100 GRAMS,€206.00, Cu    1/8" Dia. x 1/8" Length 100 g 99.999% EVMCU50EXED
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,250 GRAMS,€488.00, Cu    1/8" Dia. x 1/8" Length 250 g 99.999% EVMCU50EXEJ
Copper,COPPER PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,1 KILOGRAM,P.O.R., Cu    1/8" Dia. x 1/8" Length 1 kg 99.999% EVMCU50EXEKG
Dysprosium,DYSPROSIUM PIECES,99.9% PURE TREM,N/A,100 GRAMS,€704.00, Dy   < 8MM PIECES   PACKAGED IN MINERAL OIL < 5mm 100 g 99.9% EVMDYX5MM-D
Erbium,ERBIUM PIECES,99.9% PURE TREM,N/A,300 GRAMS,P.O.R., Er   <3MM PIECES   PACKAGED IN MINERAL OIL < 5mm 300 g 99.9% EVMERX3MM-L
Erbium,ERBIUM PIECES,99.9% PURE TREM,N/A,100 GRAMS,P.O.R., Er   <5MM PIECES  < 5mm 100 g 99.9% EVMERX5MM-D
Gadolinium,GADOLINIUM PIECES,99.9% PURE TREM,N/A,Gd,€487.00,   3-6MM PIECES  100 GRAMS  PACKAGED IN MINERAL OIL 3mm - 6mm Pieces 100 g 99.9% EVMGD3036MMD
Gadolinium,GADOLINIUM PIECES,99.9% PURE TREM,APPROX 1/8" DIAMETER X 1/8" LONG PIECES,Gd,€216.00,    25 GRAMS  PACKAGED IN MINERAL OIL Approx 1/8" x 1/8" Pieces 25 g 99.9% EVMGD30EXE-A
Gadolinium,GADOLINIUM PIECES,99.9% PURE TREM,APPROX 1/8" DIAMETER X 1/8" LONG PIECES,Gd,P.O.R.,    100 GRAMS  PACKAGED IN MINERAL OIL Approx 1/8" x 1/8" Pieces 100 g 99.9% EVMGD30EXE-D
Germanium,GERMANIUM PIECES,99.999% PURE,N/A,Ge,€272.00,   3-6MM PIECES  50 GRAMS  N- TYPE 5-40 OHM-CM RESISTIVITY 3-6mm Pieces 50g 99.999% EVMGE-1038B
Germanium,GERMANIUM PIECES,99.999% PURE,N/A,Ge,€513.00,   3-6MM PIECES  100 GRAMS  N- TYPE 5-40 OHM-CM RESISTIVITY 3-6mm Pieces 100g 99.999% EVMGE-1038D
Germanium,GERMANIUM PIECES,99.999% PURE,N/A,Ge,€5.00,   N-TYPE  5-40 OHM-CM RESISTIVITY  ~3-6MM PIECES  SOLD PER GRAM  20 GRAM MINIMUM ORDER QTY 3-6mm Pieces *Per gram (20g min.) 99.999% EVMGE50500GM
Germanium,GERMANIUM PIECES,99.999% PURE,N/A,Ge,P.O.R.,   ~3-6MM PIECES  N-TYPE  5-40 OHM-CM RESISTIVITY  1 KG LOT 3-6mm Pieces 1kg 99.999% EVMGE50500KG
Germanium,GERMANIUM PIECES,99.999% PURE,N/A,Ge,P.O.R.,   3MM-6MM PIECES  N-TYPE 5-40 OHM-CM RESISTIVITY  500 GRAMS 3-6mm Pieces 500g 99.999% EVMGE50500T
Gold,N/A,99.99% PURE,1/4" DIAMETER X 1/4" LONG,GOLD PELLET,P.O.R., Au    SOLD PER PELLET  MINIMUM OF 3.25 GRAMS/PELLET  AVERAGE WEIGHT 3.7 GRAMS/PELLET 1/4" Dia. x 1/4" Length per pellet 99.99% EVMAU40QXQ
Gold,N/A,99.999% PURE,1/4" (6.35mm) DIAMETER X 1/4" (6.35mm) LONG,GOLD PELLET,P.O.R., Au    SOLD PER PELLET  MINIMUM OF 3.25 GRAMS/PELLET  AVERAGE WEIGHT 3.7 GRAMS/PELLET 1/4" Dia. x 1/4" Length per pellet 99.999% EVMAU50QXQ
Gold,GOLD PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,SOLD BY THE GRAM,€85.10, Au    1/8" Dia. x 1/8" Length per gram 99.99% EVMAUXX40G
Gold,GOLD PELLETS,99.999% PURE,1/8" DIAMETER X 1/8" LONG,SOLD BY THE GRAM,€87.15, Au    1/8" Dia. x 1/8" Length per gram 99.999% EVMAUXX50G
Gold,GOLD SHOT,99.99% PURE,N/A,SOLD PER GRAM,P.O.R., Au   <4MM PIECES  Up to 4 mm Pieces per gram 99.99% EVMAU40SHOT
Gold,GOLD SHOT,99.999% PURE,N/A,SOLD PER GRAM.,P.O.R., Au   <4MM PIECES  Up to 4 mm Pieces per gram 99.999% EVMAU50SHOT
Gold,GOLD WIRE,99.99% PURE,0.5MM DIAMETER,SOLD BY THE FOOT APPROX. 1.156 GRAMS PER FOOT,€113.00, Au    0.5mm Dia. Wire per foot 99.99% EVMAU40020
Gold,GOLD WIRE,99.99% PURE 1 mm DIAMETER,N/A,SOLD PER GRAM APPROX. 6.85 CM/ GRAM,P.O.R., Au   1mm Dia. Wire per gram 99.99% EVMAU40040
Gold Germanium,GOLD/GERMANIUM PELLETS,99.97% PURE,APPROX 1/4" DIAMETER X 1/4" LONG,Au/Ge 88/12 WT %,P.O.R.,    2.95 GR/PELL  SOLD PER PELLET 1/4" Dia. x 1/4" Length per pellet (approx. 2.95 grams each) 99.97% EVMAUGE40QXQ
Gold Germanium,GOLD/GERMANIUM PELLETS,99.97% PURE,1/8" DIAMETER X 1/8" LONG,Au/Ge 88/12 WT %,€115.00,    SOLD PER GRAM 1/8" Dia. x 1/8" Length per gram 99.97% EVMAUGE40EXE
Gold Tin,GOLD/TIN PELLETS,99.99% PURE,1/8" DIAMETER X 1/8" LONG,PER GRAM,P.O.R., Au/Sn 80/20 WT %     MOQ 25 GRAMS 1/8" Dia. x 1/8" Length per gram 99.99% EVMAUSN8020
Hafnium,HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/2" LONG,1 lb.,P.O.R.,EUDF   Hf    1 POUND 1/4" Dia. x 1/2" Length 99.9% Ex Zr EVMHF30QXH
Hafnium,HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,1 lb.,P.O.R.,EUDF   Hf    1 POUND 1/4" Dia. x 1/4" Length 99.9% Ex Zr EVMHF30QXQ
Hafnium,HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,25 GRAMS,P.O.R.,EUDF   Hf    1/4" Dia. x 1/4" Length 25 g 99.9% Ex Zr EVMHF30QXQA
Hafnium,HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,50 GRAMS,P.O.R.,EUDF   Hf    1/4" Dia. x 1/4" Length 50 g 99.9% Ex Zr EVMHF30QXQB
Hafnium,HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,100 GRAMS,P.O.R.,EUDF   Hf    1/4" Dia. x 1/4" Length 100 g 99.9% Ex Zr EVMHF30QXQD
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,150 GRAMS,P.O.R., Hf    1/4" Dia. x 1/4" Length 150 g 99.9% Ex Zr EVMHF30QXQF
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,200 GRAMS,P.O.R., Hf    1/4" Dia. x 1/4" Length 200 g 99.9% Ex Zr EVMHF30QXQH
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/4" DIAMETER X 1/4" LONG,250 GRAMS,P.O.R., Hf    1/4" Dia. x 1/4" Length 250 g 99.9% Ex Zr EVMHF30QXQJ
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE (Ex Zr),1/4" DIAMETER X 1/4" LONG,1 KILOGRAM LOT,P.O.R., Hf    1/4" Dia. x 1/4" Length 1 kg 99.9% Ex Zr EVMHF30QXQKG
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,1 lb.,P.O.R., Hf    1 POUND 1/8" Dia. x 1/8" Length 99.9% Ex Zr EVMHF30EXE
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,25 GRAMS,P.O.R., Hf    1/8" Dia. x 1/8" Length 25 g 99.9% Ex Zr EVMHF30EXEA
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,50 GRAMS,P.O.R., Hf    1/8" Dia. x 1/8" Length 50 g 99.9% Ex Zr EVMHF30EXEB
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,100 GRAMS,P.O.R., Hf    1/8" Dia. x 1/8" Length 100 g 99.9% Ex Zr EVMHF30EXED
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,200 GRAMS,P.O.R., Hf    1/8" Dia. x 1/8" Length 200 g 99.9% Ex Zr EVMHF30EXEH
Hafnium,EUDF HAFNIUM PELLETS,99.9% PURE EX Zr,1/8" DIAMETER X 1/8" LONG,250 GRAMS,P.O.R., Hf    1/8" Dia. x 1/8" Length 250 g 99.9% Ex Zr EVMHF30EXEJ
Hafnium Oxide,EUDF HAFNIUM OXIDE TABLETS,99.9% PURE,10-12MM DIAMETER X 4-5MM THICK,25 GRAMS,P.O.R., HfO2   Ex Zr<=0.5%    WHITE 10 - 12 mm Dia. x 4 - 5mm thick 25 g 99.9% EVMHFO2TABA
Hafnium Oxide,EUDF HAFNIUM OXIDE TABLETS,99.9% PURE,10-12MM DIAMETER X 4-5MM THICK,50 GRAMS,P.O.R., HfO2   Ex Zr<=0.5%    WHITE 10 - 12 mm Dia. x 4 - 5mm thick 50 g 99.9% EVMHFO2TABB
Hafnium Oxide,EUDF HAFNIUM OXIDE TABLETS,99.9% PURE,10-12MM DIAMETER X 4-5MM THICK,100 GRAMS,P.O.R., HfO2   Ex Zr <=0.5%    WHITE 10 - 12 mm Dia. x 4 - 5mm thick 100 g 99.9% EVMHFO2TABD
Hafnium Oxide,EUDF HAFNIUM OXIDE TABLETS,99.9% PURE,10-12MM DIAMETER X 4-5MM THICK,1 KILOGRAM,P.O.R., HfO2   Ex Zr<=0.5%    WHITE 10 - 12 mm Dia. x 4 - 5mm thick 1 kg 99.9% EVMHFO2TABKG
Hafnium Oxide,EUDF HAFNIUM OXIDE TABLETS,99.9% PURE,10-12MM DIAMETER X 4-5MM THICK,500 GRAMS,P.O.R., HfO2   Ex Zr<=0.5%    WHITE 10 - 12 mm Dia. x 4 - 5mm thick 500 g 99.9% EVMHFO2TABT
Hafnium Oxide,EUDF HAFNIUM OXIDE PIECES,99.9% PURE,N/A,50 GRAMS,P.O.R., HfO2  1-3MM PIECES    WHITE  SINTERED 1mm - 3mm Pieces 50 g 99.9% EVMHFO21-3B
Hafnium Oxide,EUDF HAFNIUM OXIDE PIECES,99.9% PURE,N/A,100 GRAMS,P.O.R., HfO2 1-3MM PIECES    WHITE  SINTERED 1mm - 3mm Pieces 100 g 99.9% EVMHFO21-3D
Hafnium Oxide,EUDF HAFNIUM OXIDE PIECES,99.9% PURE,N/A,200 GRAMS,P.O.R., HfO2   1-3MM PIECES   WHITE  SINTERED 1mm - 3mm Pieces 200 g 99.9% EVMHFO21-3H
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/2" LONG,1 lb.,€924.00, In    1 POUND 1/4" Dia. x 1/2" Length 99.99% EVMIN40QXH
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€673.00, In    1 POUND 1/4" Dia. x 1/4" Length 99.99% EVMIN40QXQ
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,€62.00, In    1/4" Dia. x 1/4" Length 25 g 99.99% EVMIN40QXQA
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€98.00, In    1/4" Dia. x 1/4" Length 50 g 99.99% EVMIN40QXQB
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,€170.00, In    1/4" Dia. x 1/4" Length 100 g 99.99% EVMIN40QXQD
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,1KG LOT,P.O.R., In    1/4" Dia. x 1/4" Length 1 kg 99.99% EVMIN40QXQKG
Indium,INDIUM PELLETS,99.99% PURE,1/4" DIAMETER X 1/4" LONG,500 GRAMS,€738.00, In    1/4" Dia. x 1/4" Length 500 g 99.99% EVMIN40QXQT
Indium,INDIUM PELLETS,99.998%-99.999% PURE,1/4" DIAMETER X 1/4" LONG,100 GRAMS,P.O.R., In    1/4" Dia. x 1/4" Length 100 g 99.998-99.999% EVMIN50QXQD
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 lb.,€865.00, In    1 POUND 1/8" Dia. x 1/8" Length 99.98-99.99% EVMIN40EXE
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8" LONG,25 GRAMS,€88.00, In    1/8" Dia. x 1/8" Length 25 g 99.98-99.99% EVMIN40EXEA
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8" LONG,50 GRAMS,€182.00, In    1/8" Dia. x 1/8" Length 50 g 99.98-99.99% EVMIN40EXEB
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8"LONG,100 GRAMS,€262.00, In    1/8" Dia. x 1/8" Length 100 g 99.98-99.99% EVMIN40EXED
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8"LONG,250 GRAMS,€488.00, In    1/8" Dia. x 1/8" Length 250 g 99.98-99.99% EVMIN40EXEJ
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8" LONG,1 KILOGRAM,P.O.R., In    1/8" Dia. x 1/8" Length 1 kg 99.98-99.99% EVMIN40EXEKG
Indium,INDIUM PELLETS,99.98-99.99% PURE,1/8" DIAMETER X 1/8" LONG,500 GRAMS,€950.00, In    1/8" Dia. x 1/8" Length 500 g 99.98-99.99% EVMIN40EXET
Indium,INDIUM WIRE,99.998%-99.999% PURE,0.5MM DIAMETER X 10 METERS LONG,N/A,P.O.R., In    +/-0.05MM DIA 0.5mm Dia. 10m 99.999% EVMIN50.5X10
Indium,INDIUM WIRE,99.99% PURE,1MM DIAMETER X 1 METER,N/A,€79.00, In    1/pk 1mm Dia. 1m 99.99% EVMIN400401M
Indium,INDIUM WIRE,99.998-99.999% PURE,1MM DIAMETER X 2 METERS LONG,1/PKG,€110.00, In    1mm Dia. 2m 99.999% EVMIN500402M
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,1 lb.,€735.00, In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1LB 1/8" - 1/4" Pieces 99.99% EVMITO40
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,25 GRAMS,€66.00, In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1/8" - 1/4" Pieces 25 g 99.99% EVMITO40A
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,50 GRAMS,€147.00, In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1/8" - 1/4" Pieces 50 g 99.99% EVMITO40B
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,100 GRAMS,€218.00, In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1/8" - 1/4" Pieces 100 g 99.99% EVMITO40D
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,250 GRAMS,€504.00, In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1/8" - 1/4" Pieces 250 g 99.99% EVMITO40J
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,1 KILOGRAM,P.O.R., In2O3/SnO2 90/10 WT%   1/8"-1/4" PIECES  1/8" - 1/4" Pieces 1 kg 99.99% EVMITO40KG
Indium Tin Oxide,INDIUM OXIDE/TIN OXIDE PIECES,99.99% PURE,N/A,500 GRAM LOT,P.O.R., In2O3/SnO2  90/10 WT%   1/8"-1/4" RANDOM PIECES  1/8" - 1/4" Pieces 500 g 99.99% EVMITO40T
Iridium,IRIDIUM PIECES,99.9% PURE,N/A,25 GRAMS,P.O.R., Ir   3-6MM PIECES  25g 99.9% EVMIR3036A
Iridium,IRIDIUM PIECES,99.9% PURE,N/A,50 GRAMS,P.O.R., Ir   3-6MM PIECES  50g 99.9% EVMIR3036B
Iridium,IRIDIUM PIECES,99.9% PURE,N/A,75 GRAMS,P.O.R., Ir   3-6MM PIECES  75g 99.9% EVMIR3036C
Iridium,IRIDIUM PIECES,99.9% PURE,N/A,100 GRAMS,P.O.R., Ir   3-6MM PIECES  100g 99.9% EVMIR3036D
Iridium,IRIDIUM PIECES,99.9% PURE 3-6MM PIECES,N/A,200 GRAMS,P.O.R., Ir   200g 99.9% EVMIR3036H
Iron,IRON PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,1 lb.,€300.00, Fe    1 POUND 1/4" Dia. x 1/4" Length 99.95% EVMFE35QXQ
Iron,IRON PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,25 GRAMS,P.O.R., Fe    1/4" Dia. x 1/4" Length 25 g 99.95% EVMFE35QXQA
Iron,IRON PELLETS,99.95% PURE,1/4" DIAMETER X 1/4" LONG,50 GRAMS,€67.00, Fe    1/4" Dia. x 1/4" Length 50 g 99.95% EVMFE35QXQB
Iron,IRON PELLETS,99.95% PURE 1/4" DIAMETER X 1/4" LONG,N/A,100 GRAMS,€82.00, Fe   1/4" Dia. x 1/4" Length 100 g 99.95% EVMFE35QXQD
