Name,Material,Purity,Diameter,Lenght,Price,Rest
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/8" long,€83.00, Al    1/8" Dia. x 1/8" Length 50 g 99.99% EVMAL40EXEB
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/8" long,€137.00, Al    1/8" Dia. x 1/8" Length 100 g 99.99% EVMAL40EXED
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/8" long,€321.00, Al    1/8" Dia. x 1/8" Length 250 g 99.99% EVMAL40EXEJ
ALUMINUM PELLETS,Aluminum,99.99% PURE,1/8" diameter,1/8" long,P.O.R., Al    1/8" Dia. x 1/8" Length 1 kg 99.99% EVMAL40EXEKG
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€676.00, Al    1 POUND 1/8" Dia. x 1/8" Length 99.999% EVMAL50EXE
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€59.00, Al    1/8" Dia. x 1/8" Length 25 g 99.999% EVMAL50EXEA
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€95.00, Al    1/8" Dia. x 1/8" Length 50 g 99.999% EVMAL50EXEB
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€168.00, Al    1/8" Dia. x 1/8" Length 100 g 99.999% EVMAL50EXED
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€312.00, Al    1/8" Dia. x 1/8" Length 200 g 99.999% EVMAL50EXEH
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,€383.00, Al    1/8" Dia. x 1/8" Length 250 g 99.999% EVMAL50EXEJ
ALUMINUM PELLETS,Aluminum,99.999% PURE,1/8" diameter,1/8" long,P.O.R., Al    1/8" Dia. x 1/8" Length 1 kg 99.999% EVMAL50EXEKG
ALUMINUM WIRE,Aluminum,99.99% PURE,N/A,N/A,€4.00, Al    PER FOOT  MIN. 10 FOOT ORDER 1.0 mm (0.040") Dia. 1 ft. 99.99% EVMAL40040
ALUMINUM WIRE,Aluminum,99.999% PURE,1mm diameter,100 meters,€415.00, Al   1.0 mm (0.040") Dia. 100 m 99.999% EVMAL50040
