Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,76.19999999999999,3",N/A,N/A,N/A,Al     W/ KEEPER
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
TORUS Mag Keeper 3,N/A,TORUS Mag Keeper 3,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX403TK4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€283.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€283.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,0.254,0.010",N/A,N/A,N/A,Al    MACHINED FACES
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX503A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€201.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€201.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,3.3782,0.133",N/A,N/A,N/A,Al    MACHINED FACES   DRILLED AND TAPPED FOR 6-32   W/ KEEPER
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
U.S. Gun,N/A,U.S. Gun,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX503K4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,76.19999999999999,3",N/A,N/A,N/A,Al    MACHINED FACES   W/ KEEPER
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
TORUS Mag Keeper 3,N/A,TORUS Mag Keeper 3,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX503TK4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€320.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€320.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX404A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€170.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€170.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,0.254,0.010",N/A,N/A,N/A,Al
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX504A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€287.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€287.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX404A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€185.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€185.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,3.3782,0.133",N/A,N/A,N/A,Al     DRILLED AND TAPPED FOR A 8-32 CENTER HOLE   WITH KEEPER AND SCREW
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
U.S. Gun,N/A,U.S. Gun,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX404K4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,101.6,4",N/A,N/A,N/A,Al    MACHINED FACES   W/ KEEPER
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
TORUS Mag Keeper 4,N/A,TORUS Mag Keeper 4,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX404TK4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€399.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€399.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,0.254,0.010",N/A,N/A,N/A,Al    MACHINED FACES
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX504A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€299.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€299.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,101.6,4",N/A,N/A,N/A,Al    MACHINED FACES   W/ KEEPER
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
TORUS Mag Keeper 4,N/A,TORUS Mag Keeper 4,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX504TK4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€461.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€461.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,101.6,4",N/A,N/A,N/A,Al    MACHINED FACES   W/ KEEPER
4.00" Dia. x 0.375" Thick,N/A,N/A,N/A,101.6,4.00",9.524999999999999,0.375",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
TORUS Mag Keeper 4,N/A,TORUS Mag Keeper 4,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX504TK6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
5.00" Dia x 0.125" Thick,N/A,N/A,N/A,127.0,5.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX405A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€172.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€172.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM FOIL,N/A,ALUMINUM FOIL,99.999% PURE,N/A,N/A,N/A,N/A,N/A, Al
54mm Dia. x 1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM FOIL,N/A,ALUMINUM FOIL,99.99% PURE,N/A,N/A,N/A,N/A,N/A, Al
54mm Dia. x 1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM FOIL,N/A,ALUMINUM FOIL,99.999% PURE,N/A,N/A,N/A,N/A,N/A, Al
57mm Dia. x 0.1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EVMAL50SPL01,N/A,EVMAL50SPL01,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET FOR KJL108,ALUMINUM TARGET FOR KJL108,,99.99+% PURE,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 0.1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
KJL81013,N/A,KJL81013,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET FOR KJL108,ALUMINUM TARGET FOR KJL108,,99.99% PURE,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 0.2mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,0.2,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
KJL81070,N/A,KJL81070,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM FOIL,N/A,ALUMINUM FOIL,99.99% PURE,N/A,N/A,N/A,N/A,N/A, Al
57mm Dia. x 0.3mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EVMAL40SPL03,N/A,EVMAL40SPL03,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.999% PURE,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 1.5mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,1.5,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
57mm Dia. x 1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.999% PURE,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 1mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.999% PURE 57MM DIAMETER X 2MM THICK,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 2mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
KJL81023,N/A,KJL81023,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE 57MM DIA X 2MM THICK,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 2mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
KJL81085,N/A,KJL81085,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,N/A,N/A,N/A,N/A,N/A,Al
57mm Dia. x 3mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.999% PURE,0.254,.010",N/A,N/A,N/A,Al
57mm Dia. x 3mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
KJL81029,N/A,KJL81029,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
6.00" Dia. x 0.125" Thick,N/A,N/A,N/A,152.39999999999998,6.00",3.175,0.125",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX406A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.999% PURE,0.254,0.010",N/A,N/A,N/A,Al
6.00" Dia. x 0.125" Thick,N/A,N/A,N/A,152.39999999999998,6.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX506A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,0.254,0.010",N/A,N/A,N/A,Al
6.00" Dia. x 0.250" Thick,N/A,N/A,N/A,152.39999999999998,6.00",6.35,0.250",N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX406A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.9995% PURE,0.254,0.010",N/A,N/A,N/A,Al
6.00" Dia. x 0.250" Thick,N/A,N/A,N/A,152.39999999999998,6.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXX506A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum,N/A,Aluminum,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM TARGET,ALUMINUM TARGET,,99.99% PURE,N/A,N/A,N/A,N/A,N/A,Al
60mm Dia. x 3mm Thick,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,
99.99%,N/A,N/A,99.99%,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
—,N/A,—,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALXXSPL36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
