Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT% 99.999% PURE,0.254,0.010",N/A,N/A,N/A,
1.00" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU501A2,N/A,EJTALCU501A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT% 99.999% PURE,0.254,0.010",N/A,N/A,N/A,
1.00" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU501A4,N/A,EJTALCU501A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
2.00" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU502A2,N/A,EJTALCU502A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
2.00" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU502A4,N/A,EJTALCU502A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
3.00" Dia. x 0.125" Thick,N/A,N/A,N/A,76.19999999999999,3.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU503A2,N/A,EJTALCU503A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
3.00" Dia. x 0.250" Thick,N/A,N/A,N/A,76.19999999999999,3.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU503A4,N/A,EJTALCU503A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
4.00" Dia. x 0.125" Thick,N/A,N/A,N/A,101.6,4.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU504A2,N/A,EJTALCU504A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
4.00" Dia. x 0.250" Thick,N/A,N/A,N/A,101.6,4.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU504A4,N/A,EJTALCU504A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper Circular Sputter Target (6.0" Diameter x 0.125" Thickness,N/A,,99.999% pure),152.39999999999998,6.0",3.175,0.125",N/A,
6.00" Dia. x 0.125" Thick,N/A,N/A,N/A,152.39999999999998,6.00",3.175,0.125",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU506A2,N/A,EJTALCU506A2,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Copper,N/A,Aluminum Copper,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM/COPPER TARGET,ALUMINUM/COPPER TARGET,,Al/Cu 99/1 WT%,0.254,0.010",N/A,N/A,N/A, 99.999% PURE
6.00" Dia. x 0.250" Thick,N/A,N/A,N/A,152.39999999999998,6.00",6.35,0.250",N/A,
99.999%,N/A,N/A,99.999%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALCU506A4,N/A,EJTALCU506A4,N/A,N/A,N/A,N/A,N/A,N/A,
P.O.R.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P.O.R.,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Nitride,N/A,Aluminum Nitride,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM NITRIDE TARGET,ALUMINUM NITRIDE TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,AlN     85-93% DENSE
1.0" Dia. x 0.125" Thick,N/A,N/A,N/A,25.4,1.0",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALNX281A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€520.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€520.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Nitride,N/A,Aluminum Nitride,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM NITRIDE TARGET,ALUMINUM NITRIDE TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,AlN     HOT PRESSED  85-93% DENSE
1.0" Dia. x 0.250" Thick,N/A,N/A,N/A,25.4,1.0",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALNX281A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€539.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€539.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Nitride,N/A,Aluminum Nitride,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM NITRIDE TARGET,ALUMINUM NITRIDE TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,AlN     HOT PRESSED  85-93% DENSE
2.0" Dia. x 0.125" Thick,N/A,N/A,N/A,50.8,2.0",3.175,0.125",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALNX282A2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€576.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€576.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Nitride,N/A,Aluminum Nitride,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM NITRIDE TARGET,ALUMINUM NITRIDE TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,AlN     HOT PRESSED  85-93% DENSE
2.0" Dia. x 0.250" Thick,N/A,N/A,N/A,50.8,2.0",6.35,0.250",N/A,
99.8%,N/A,N/A,99.8%,N/A,N/A,N/A,N/A,N/A,
Most Standard Guns,N/A,Most Standard Guns,N/A,N/A,N/A,N/A,N/A,N/A,
1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,
EJTALNX282A4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
€812.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,€812.00,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
Aluminum Nitride,N/A,Aluminum Nitride,N/A,N/A,N/A,N/A,N/A,N/A,
ALUMINUM NITRIDE TARGET,ALUMINUM NITRIDE TARGET,,99.8% PURE,0.254,0.010",N/A,N/A,N/A,AlN     HOT PRESSED  85-93% DENSE
