Material,Name,Formula,Purity,Diameter mm,Diameter ",Thickness mm,Thickness ",Price,Rest
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT% 99.999% PURE,25.4,1.00",3.175,0.125",P.O.R.,   99.999% Most Standard Guns 1 EJTALCU501A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT% 99.999% PURE,25.4,1.00",6.35,0.250",P.O.R.,   99.999% Most Standard Guns 1 EJTALCU501A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,50.8,2.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU502A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,50.8,2.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU502A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,76.19999999999999,3.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU503A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,76.19999999999999,3.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU503A4
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,101.6,4.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU504A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,101.6,4.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU504A4
Aluminum Copper,N/A,Aluminum Copper,99.999% pure),152.39999999999998,6.00",3.175,0.125",P.O.R., 99.999% Most Standard Guns 1 EJTALCU506A2
Aluminum Copper,ALUMINUM/COPPER TARGET,Aluminum Copper,Al/Cu 99/1 WT%,152.39999999999998,6.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALCU506A4
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,25.4,1.0",3.175,0.125",€520.00, AlN     85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,25.4,1.0",6.35,0.250",€539.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,50.8,2.0",3.175,0.125",€576.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,50.8,2.0",6.35,0.250",€812.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,76.19999999999999,3.0",3.175,0.125",€817.00, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,76.19999999999999,3.0",6.35,0.250",P.O.R., AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,101.6,4.0",3.175,0.125",€1, AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1 148.00
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,101.6,4.0",6.35,0.250",P.O.R., AlN     HOT-PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Nitride,ALUMINUM NITRIDE TARGET,Aluminum Nitride,99.8% PURE,152.39999999999998,6.0",6.35,0.250",P.O.R., AlN     HOT PRESSED  85-93% DENSE 99.8% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,25.4,1.0",3.175,0.125",€395.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,25.4,1.0",3.175,0.125",€431.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,25.4,1.0",6.35,0.250",€421.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,25.4,1.0",6.35,0.250",€479.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,50.8,2.0",3.175,0.125",€437.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,50.8,2.0",3.175,0.125",€694.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,50.8,2.0",6.35,0.250",€472.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,50.8,2.0",6.35,0.250",€662.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,76.19999999999999,3.0",3.175,0.125",€558.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,76.19999999999999,3.0",3.175,0.125",€777.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,76.19999999999999,3.0",6.35,0.250",€694.00,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,76.19999999999999,3.0",6.35,0.250",€856.00,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,101.6,4.0",3.175,0.125",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,101.6,4.0",3.175,0.125",€1,Al2O3    99.999% Most Standard Guns 1 121.00
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,101.6,4.0",6.35,0.250",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,101.6,4.0",6.35,0.250",€1,Al2O3    99.999% Most Standard Guns 1 137.00
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,152.39999999999998,6.0",3.175,0.125",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,152.39999999999998,6.0",3.175,0.125",P.O.R.,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.5% PURE,152.39999999999998,6.0",6.35,0.250",€184.00,Al2O3    99.5% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,152.39999999999998,6.0",6.35,0.250",P.O.R.,Al2O3     PER DRAWING 99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,152.39999999999998,6.0",6.35,0.250",P.O.R.,Al2O3    99.999% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.5% PURE,203.2,8.0",3.175,0.125",€271.00,Al2O3    99.5% Most Standard Guns 1
Aluminum Oxide,N/A,,99.99% pure),203.2,8.0",3.175,0.125",P.O.R.,99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.5% PURE,203.2,8.0",6.35,0.250",€273.00,Al2O3    99.5% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.99% PURE,203.2,8.0",6.35,0.250",P.O.R.,Al2O3    99.99% Most Standard Guns 1
Aluminum Oxide,ALUMINUM OXIDE TARGET,,99.999% PURE,203.2,8.0",6.35,0.250",P.O.R.,Al2O3    99.999% Most Standard Guns 1
Aluminum Scandium,ALUMINUM/SCANDIUM TARGET,Aluminum Scandium,70/30 WT %,76.19999999999999,3.00",6.35,0.250",P.O.R., Al/Sc 70/30 WT%  99.99% PURE    HOT-PRESSED  BEST EFFORTS ON APPEARANCE. 99.99% Most Standard Guns 1 EJTALSCSPL06
Aluminum Scandium,ALUMINUM/SCANDIUM TARGET,Aluminum Scandium,70/30 AT %,76.19999999999999,3.00",N/A,3,P.O.R., Al/Sc 70/30 AT%  99.99% PURE    HOT-PRESSED  BEST EFFORTS ON APPEARANCE 99.99% Most Standard Guns 1 EJTALSCSPL11
Aluminum Scandium,ALUMINUM/SCANDIUM TARGET,Aluminum Scandium,60/40 WT %,101.6,4.00",6.35,0.250",P.O.R., Al/Sc 60/40 WT %  99.99% PURE    BEST EFFORTS ON APPEARANCE 99.99% Most Standard Guns 1 EJTALSC404A4
Aluminum Scandium,ALUMINUM/SCANDIUM TARGET,Aluminum Scandium,55/45 WT %,152.39999999999998,6.00",3.175,0.125",P.O.R., Al/Sc  55/45 WT%  99.99% PURE   99.99% Most Standard Guns 1 EJTALSCSPL03
Aluminum Scandium,ALUMINUM/SCANDIUM TARGET,Aluminum Scandium,60/40 AT %,332.73999999999995,13.1",7.010400000000001,0.276",P.O.R., Al/Sc 60/40 AT%  99.95% PURE   PER DRAWING 99.95% — — EJTALSCSPL10
Aluminum Silicon Copper,N/A,Aluminum Silicon Copper,99.999% pure),25.4,1.0",3.175,0.125",P.O.R., 99.999% Most Standard Guns 1 EJTALSC501A2
Aluminum Silicon Copper,N/A,Aluminum Silicon Copper,99.999% pure),25.4,1.0",6.35,0.250",P.O.R., 99.999% Most Standard Guns 1 EJTALSC501A4
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,50.8,2.0",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC502A2
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,50.8,2.0",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC502A4
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,76.19999999999999,3.0",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC503A2
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,76.19999999999999,3.0",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC503A4
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,101.6,4.0",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC504A2
Aluminum Silicon Copper,ALUMINUM/SILICON/COPPER TARGET,Aluminum Silicon Copper,Al/Si/Cu 98/1/1 WT%,101.6,4.0",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSC504A4
Aluminum Silicon,N/A,Aluminum Silicon,99.999% pure),25.4,1.00",3.175,0.125",P.O.R., 99.999% Most Standard Guns 1 EJTALSI501A2
Aluminum Silicon,N/A,Aluminum Silicon,99.999% pure),25.4,1.00",6.35,0.250",P.O.R., 99.999% Most Standard Guns 1 EJTALSI501A4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,50.8,2.00",3.175,0.125",€161.00,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI502A2
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,50.8,2.00",6.35,0.250",€227.00,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI502A4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,50.8,2.00",6.35,0.250",€305.00,  99.999% PURE    W/ KEEPER  99.999% TORUS Mag Keeper 2 — EJTALSI502TK4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,76.19999999999999,3.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI503A2
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,76.19999999999999,3.00",6.35,0.250",€251.00,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI503A4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,76.19999999999999,3.00",6.35,0.250",€349.00,  99.999% PURE    W/ KEEPER  99.999% TORUS Mag Keeper 3 — EJTALSI503TK4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,101.6,4.00",3.175,0.125",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI504A2
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,101.6,4.00",6.35,0.250",€357.00,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI504A4
Aluminum Silicon,ALUMINUM/SILICON TARGET,Aluminum Silicon,Al/Si 99/1 WT %,152.39999999999998,6.00",6.35,0.250",P.O.R.,  99.999% PURE   99.999% Most Standard Guns 1 EJTALSI506A4
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,25.4,1.00",3.175,0.125",€62.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,25.4,1.00",3.175,0.125",€142.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,25.4,1.00",6.35,0.250",€95.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,25.4,1.00",6.35,0.250",€148.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,33.019999999999996,1.30",6.35,0.250",P.O.R., Al     DRILLED AND TAPPED FOR 2-56  WITH KEEPER AND SCREW 99.999% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,50.8,2.00",1.5875,0.0625",€106.00, Al   99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,50.8,2.00",3.175,0.125",€91.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,50.8,2.00",3.175,0.125",€122.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,50.8,2.00",6.35,0.250",€110.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,50.8,2.00",6.35,0.250",€237.00, Al    D&T 2−56 CENTER HOLE    W/ KEEPER 99.99% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,50.8,2.00",6.35,0.250",€283.00, Al     W/ KEEPER  99.99% TORUS Mag Keeper 2 —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,50.8,2.00",6.35,0.250",€140.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.999%,50.8,2.00",6.35,0.250",P.O.R., Al   PURE    D & T FOR 2-56 CENTER HOLE   99.999% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,50.8,2.00",6.35,0.250",€299.00, Al     W/ KEEPER  99.999% TORUS Mag Keeper 2 —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,76.19999999999999,3.00",1.5875,0.0625",€180.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,76.19999999999999,3.00",3.175,0.125",€112.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,76.19999999999999,3.00",3.175,0.125",€187.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,76.19999999999999,3.00",6.35,0.250",€136.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,76.19999999999999,3.00",6.35,0.250",P.O.R., Al     W/ 6-32 CENTER HOLE   W/ KEEPER AND SCREW 99.99% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,76.19999999999999,3.00",6.35,0.250",€283.00, Al     W/ KEEPER  99.99% TORUS Mag Keeper 3 —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,76.19999999999999,3.00",6.35,0.250",€201.00, Al    MACHINED FACES  99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,76.19999999999999,3.00",6.35,0.250",P.O.R., Al    MACHINED FACES   DRILLED AND TAPPED FOR 6-32   W/ KEEPER 99.999% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,76.19999999999999,3.00",6.35,0.250",€320.00, Al    MACHINED FACES   W/ KEEPER  99.999% TORUS Mag Keeper 3 —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,101.6,4.00",3.175,0.125",€170.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,101.6,4.00",3.175,0.125",€287.00, Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,101.6,4.00",6.35,0.250",€185.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,101.6,4.00",6.35,0.250",P.O.R., Al     DRILLED AND TAPPED FOR A 8-32 CENTER HOLE   WITH KEEPER AND SCREW 99.99% U.S. Gun —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,101.6,4.00",6.35,0.250",€399.00, Al    MACHINED FACES   W/ KEEPER  99.99% TORUS Mag Keeper 4 —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,101.6,4.00",6.35,0.250",€299.00, Al    MACHINED FACES  99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,101.6,4.00",6.35,0.250",€461.00, Al    MACHINED FACES   W/ KEEPER  99.999% TORUS Mag Keeper 4 —
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,101.6,4.00",9.524999999999999,0.375",P.O.R., Al    MACHINED FACES   W/ KEEPER  99.999% TORUS Mag Keeper 4 —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,127.0,5.00",3.175,0.125",€172.00, Al    99.99% Most Standard Guns 1
Aluminum,N/A,Aluminum,99.999% PURE,N/A,N/A,N/A,1,P.O.R.,ALUMINUM FOIL  Al    99.999% — —
Aluminum,N/A,Aluminum,99.99% PURE,N/A,N/A,N/A,1,P.O.R.,ALUMINUM FOIL  Al    99.99% — —
Aluminum,N/A,Aluminum,99.999% PURE,N/A,N/A,N/A,0.1,P.O.R.,ALUMINUM FOIL  Al     99.999% — — EVMAL50SPL01
Aluminum,ALUMINUM TARGET FOR KJL108,Aluminum,99.99+% PURE,N/A,N/A,N/A,0.1,P.O.R., Al     99.99% — — KJL81013
Aluminum,ALUMINUM TARGET FOR KJL108,Aluminum,99.99% PURE,N/A,N/A,N/A,0.2,P.O.R., Al     99.99% — — KJL81070
Aluminum,N/A,Aluminum,99.99% PURE,N/A,N/A,N/A,0.3,P.O.R.,ALUMINUM FOIL  Al     99.99% — — EVMAL40SPL03
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,N/A,N/A,N/A,1.5,P.O.R., Al    99.999% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,0.254,0.010",N/A,1,P.O.R., Al    99.99% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,N/A,N/A,N/A,1,P.O.R., Al    99.999% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE 57MM DIAMETER X 2MM THICK,N/A,N/A,N/A,2,P.O.R., Al   99.999% — — KJL81023
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE 57MM DIA X 2MM THICK,N/A,N/A,N/A,2,P.O.R., Al   99.99% — — KJL81085
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,N/A,N/A,N/A,3,P.O.R., Al    99.99% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,0.254,.010",N/A,3,P.O.R., Al    99.999% — — KJL81029
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,152.39999999999998,6.00",3.175,0.125",P.O.R., Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,152.39999999999998,6.00",3.175,0.125",P.O.R., Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,152.39999999999998,6.00",6.35,0.250",P.O.R., Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.9995% PURE,152.39999999999998,6.00",6.35,0.250",P.O.R., Al    99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,N/A,N/A,N/A,3,P.O.R., Al    99.99% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,N/A,N/A,N/A,3,P.O.R., Al    99.999% — —
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,177.79999999999998,7.00",6.35,0.250",€304.00, Al    99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,203.2,8.00",3.175,0.125",P.O.R.,  99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE 8.00" DIAMETER X 0.125" THICK,203.2,8.00",3.175,0.125",P.O.R., Al   99.999% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.99% PURE,203.2,8.00",6.35,0.250",P.O.R., Al   99.99% Most Standard Guns 1
Aluminum,ALUMINUM TARGET,Aluminum,99.999% PURE,203.2,8.00",6.35,0.250",P.O.R., Al    99.999% Most Standard Guns 1
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,25.4,1.00",3.175,0.125",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE501A2
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,25.4,1.00",6.35,0.250",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE501A4
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,50.8,2.00",3.175,0.125",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE502A2
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,50.8,2.00",6.35,0.250",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE502A4
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,76.19999999999999,3.00",3.175,0.125",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE503A2
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,76.19999999999999,3.00",6.35,0.250",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE503A4
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,101.6,4.00",3.175,0.125",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE504A2
Antimony Telluride,ANTIMONY TELLURIDE TARGET,Antimony Telluride,99.999% PURE,101.6,4.00",6.35,0.250",P.O.R., Sb2Te3     HAZARDOUS SHIPPING 99.999% Most Standard Guns 1 EJTSBTE504A4
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,25.4,1.00",3.175,0.125",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,25.4,1.00",6.35,0.250",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,50.8,2.00",3.175,0.125",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,50.8,2.00",6.35,0.250",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,76.19999999999999,3.00",3.175,0.125",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,76.19999999999999,3.00",6.35,0.250",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,101.6,4.00",3.175,0.125",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,101.6,4.00",6.35,0.250",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,152.39999999999998,6.00",3.175,0.125",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Antimony,ANTIMONY TARGET,Antimony,99.999% PURE,152.39999999999998,6.00",6.35,0.250",P.O.R., Sb     MAY HAVE SURFACE IMPERFECTIONS 99.999% Most Standard Guns 1
Barium Cerium Yttrium Zirconate,BARIUM CERIUM YTTRIUM ZIRCONIUM OXIDE TARGET,Barium Cerium Yttrium Zirconate,99.9% PURE,50.8,2.00",3.175,0.125",P.O.R.,BaCe(.65)Y(.15)Zr(.20)O3  BaCe(.65)Y(.15)Zr(.20)O3     BEST EFFORTS 99.9% Most Standard Guns 1 EJTBACYZOSPL02
Barium Cerium Yttrium Zirconate,BARIUM CERIUM YTTRIUM ZIRCONIUM OXIDE TARGET,Barium Cerium Yttrium Zirconate,99.9% PURE,50.8,2.00",3.175,0.125",P.O.R.,Ba(1.05)Ce(.65)Y(.15)Zr(.20)O3  Ba(1.05)Ce(.65)Y(.15)Zr(.20)O3    99.9% Most Standard Guns 1 EJTBACYZOSPL03
Barium Ferrite,BARIUM FERRITE TARGET,Barium Ferrite,99.9% PURE,25.4,1.00",6.35,0.250",P.O.R., BaFe12O19     BEST EFFORTS 99.9% Most Standard Guns 1 EJTBAFE301A4
Barium Ferrite,BARIUM FERRITE TARGET,Barium Ferrite,99.9% PURE,50.8,2.00",3.175,0.125",P.O.R., BaFe12O19     BEST EFFORTS  99.9% Most Standard Guns 1 EJTBAFE302A2
Barium Ferrite,BARIUM FERRITE TARGET,Barium Ferrite,99.9% PURE,76.19999999999999,3.00",3.175,0.125",P.O.R., BaFe12O19     BEST EFFORTS 99.9% Most Standard Guns 1 EJTBAFE303A2
